filename;median_range;fct;loess_span;Temp_min;Temp_max;Sal_min;Sal_max;flag_QC
Nunataryuk_WP4-3_st380_I20190726_R20200109_BECU_IOP-CTD-u01.csv;3;loess;0.07;-2.0;15.0;-0.05;35;0
Nunataryuk_WP4-3_st740_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;17.0;18.0;0.00;0.25;1
Nunataryuk_WP4-3_st800_I20190802_R20200109_BECU_IOP-CTD-d01.csv;7;loess;0.12;7.5;10.0;26.5;28.5;1
Nunataryuk_WP4-3_st810_I20190802_R20200109_BECU_IOP-CTD-d01.csv;7;loess;0.12;8.5;11.0;23.0;26.0;1
Nunataryuk_WP4-3_st820_I20190802_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.05;11.0;12.0;17.0;19.0;1
Nunataryuk_WP4-3_st830_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.12;15.0;17.0;0.00;0.20;1
Nunataryuk_WP4-3_st840_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.12;16.0;17.0;0.10;0.20;1
Nunataryuk_WP4-3_st850_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.12;16.5;17.5;0.10;0.20;1
Nunataryuk_WP4-3_st860_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.12;17.0;18.0;0.10;0.20;1
Nunataryuk_WP4-3_st870_I20190802_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.12;17.0;18.0;0.10;0.20;1
Nunataryuk_WP4-3_stR01_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR02_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR03_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR04_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.5;19.5;0.15;0.25;1
Nunataryuk_WP4-3_stR05_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR06_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR07_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.0;19.0;0.10;0.20;1
Nunataryuk_WP4-3_stR08_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.0;19.0;0.15;0.25;1
Nunataryuk_WP4-3_stR09_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.5;19.5;0.15;0.25;1
Nunataryuk_WP4-3_stR10_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;18.5;19.5;0.15;0.25;1
Nunataryuk_WP4-3_stR11_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;17.0;18.0;0.10;0.20;1
Nunataryuk_WP4-3_stR12_I20190729_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.10;17.0;18.0;0.10;0.20;1
Nunataryuk_WP4-4_st010_I20190906_R20200109_BECU_IOP-CTD-d01.csv;5;loess;0.05;5.5;10.0;-0.05;22.0;1
Nunataryuk_WP4-4_st020_I20190906_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.07;10.0;10.5;0.10;0.25;1
Nunataryuk_WP4-4_st030_I20190906_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.12;10.0;11.0;0.10;0.25;1
Nunataryuk_WP4-4_st040_I20190906_R20200109_BECU_IOP-CTD-d01.csv;3;loess;0.12;10.0;10.5;0.10;0.25;1
Nunataryuk_WP4-4_st1030_I20190905_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.03;4.75;06.25;15.0;25.0;1
Nunataryuk_WP4-4_st1040_I20190905_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.07;05.0;07.0;03.5;25.0;1
Nunataryuk_WP4-4_st1050_I20190905_R20200109_BECU_IOP-CTD-d01.csv;1;loess;0.03;05.0;07.5;02.0;25.0;1
